,missing_count,missing_share,duplicate
avg_session_duration_min,2.0,0.05555555555555555,
city,2.0,0.05555555555555555,
channel,0.0,0.0,
churned,0.0,0.0,
country,0.0,0.0,
device,0.0,0.0,
n_support_tickets,0.0,0.0,
pages_per_session,0.0,0.0,
plan,0.0,0.0,
purchases_last_30d,0.0,0.0,
revenue_last_30d,0.0,0.0,
sessions_last_30d,0.0,0.0,
signup_year,0.0,0.0,
user_id,0.0,0.0,
0,,,False
1,,,False
2,,,False
3,,,False
4,,,False
5,,,False
6,,,False
7,,,False
8,,,False
9,,,False
10,,,False
11,,,False
12,,,False
13,,,False
14,,,False
15,,,False
16,,,False
17,,,False
18,,,False
19,,,False
20,,,False
21,,,False
22,,,False
23,,,False
24,,,False
25,,,True
26,,,False
27,,,False
28,,,False
29,,,False
30,,,False
31,,,False
32,,,False
33,,,False
34,,,False
35,,,False
